id,title,genres,averageRating,numVotes,releaseYear
tt0903747,Breaking Bad,"Crime, Drama, Thriller",9.5,2241784,2008
tt5491994,Planet Earth II,Documentary,9.5,162763,2016
tt0185906,Band of Brothers,"Action, Drama, History",9.4,546673,2001
tt0795176,Planet Earth,"Documentary, Family",9.4,224251,2006
tt5152226,Tree of Life,Drama,9.4,13714,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,909974,2019
tt0306414,The Wire,"Crime, Drama, Thriller",9.3,391708,2002
tt0417299,Avatar: The Last Airbender,"Action, Adventure, Animation",9.3,391038,2005
tt30263074,Sapne Vs Everyone,Drama,9.3,71623,2023
tt6769208,Blue Planet II,Documentary,9.3,49279,2017
tt0081846,Cosmos,Documentary,9.3,46212,1980
tt7678620,Bluey,"Animation, Family",9.3,33937,2018
tt9002164,BB Ki Vines,Comedy,9.3,11385,2015
tt0944947,Game of Thrones,"Action, Adventure, Drama",9.2,2370839,2011
tt0141842,The Sopranos,"Crime, Drama",9.2,500398,1999
tt14392248,Aspirants,Drama,9.2,314087,2021
tt12392504,Scam 1992: The Harshad Mehta Story,"Biography, Crime, Drama",9.2,161522,2020
tt2395695,Cosmos: A Spacetime Odyssey,Documentary,9.2,131806,2014
tt9253866,Our Planet,Documentary,9.2,54282,2019
tt5622316,The Chosen,"Drama, History",9.2,51822,2017
tt9471404,The Chosen,"Drama, History",9.2,51214,2017
tt4202274,The Filthy Frank Show,"Comedy, Short",9.2,33693,2011
tt0071075,The World at War,"Documentary, History, War",9.2,31488,1973
tt9861270,Çilgin Dersane at the University,Comedy,9.2,13727,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1026376,2010
tt2861424,Rick and Morty,"Adventure, Animation, Comedy",9.1,628687,2013
tt2560140,Attack on Titan,"Action, Adventure, Animation",9.1,565209,2013
tt1355642,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Animation",9.1,209715,2009
tt1831164,Leyla and Mecnun,"Adventure, Comedy, Drama",9.1,98124,2011
tt28227737,Sandeep Bhaiya,Drama,9.1,75910,2023
tt4742876,TVF Pitchers,"Comedy, Drama",9.1,74229,2015
tt1533395,Life,Documentary,9.1,44228,2009
tt1877514,The Vietnam War,"Documentary, History, War",9.1,29725,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,24923,2019
tt9471962,Halka,"Action, Crime, Drama",9.1,19657,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18071,2017
tt4834232,Critical Role,"Adventure, Fantasy",9.1,13810,2015
tt13854248,The Legend of Hanuman,"Action, Adventure, Animation",9.1,12957,2021
tt0386676,The Office,Comedy,9,748204,2005
tt3032476,Better Call Saul,"Crime, Drama",9,693166,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,332162,2021
tt0388629,One Piece,"Action, Adventure, Animation",9,271594,1999
tt8420184,The Last Dance,"Biography, Documentary, History",9,160214,2020
tt2098220,Hunter x Hunter,"Action, Adventure, Animation",9,150137,2011
tt0103359,Batman: The Animated Series,"Action, Adventure, Animation",9,122836,1992
tt12004706,Panchayat,"Comedy, Drama",9,99090,2020
tt0052520,The Twilight Zone,"Drama, Fantasy, Horror",9,97391,1959
tt9432978,Kota Factory,"Comedy, Drama",9,86045,2019
tt10541088,Clarkson's Farm,"Comedy, Documentary, Reality-TV",9,67046,2021
tt0081912,Only Fools and Horses,Comedy,9,58817,1981
